learning_target,annotated_exposures,modules_used,first_module_sequence,first_module_id
fresco,3,2,24,module-31
frío,5,5,27,module-35
fuera,3,2,63,module-28
fueras,3,1,64,module-22
fui,8,4,33,module-10
fuimos,3,3,33,module-10
fuiste,2,1,33,module-10
fútbol,4,4,17,module-8
ganas,3,2,9,module-verb-tener
gimnasio,3,2,25,module-ir-y-venir
gracias,10,6,1,module-1
grande,13,5,3,module-3
guitarra,8,2,21,module-42
gusta,43,6,17,module-8
gustan,10,2,17,module-8
gustaría,2,2,18,module-gustar-family
ha,15,4,37,module-12
había,4,3,5,module-hay-vs-esta
habla,16,7,10,module-38
hablaba,2,1,34,module-11
hablado,4,1,37,module-12
hablamos,7,6,11,module-5
hablando,4,2,48,module-24
hablar,8,8,17,module-8
hablara,2,1,63,module-28
hablas,2,2,11,module-5
hable,3,3,46,module-16
hablé,2,2,33,module-10
hables,9,4,50,module-17
hablo,5,4,11,module-5
hace,10,6,27,module-35
hacemos,2,1,32,module-verb-hacer
hacer,3,3,56,story-5
hacía,3,2,35,module-past-comparison
hambre,14,9,8,module-4
has,17,4,37,module-12
hasta,7,6,7,story-1
hay,16,6,5,module-hay-vs-esta
he,39,11,37,module-12
hemos,9,3,37,module-12
hermana,12,6,9,module-verb-tener
hermano,7,5,10,module-38
hermanos,7,5,8,module-4
hice,2,2,44,module-por-vs-para
hiciera,3,3,63,module-28
hola,6,4,1,module-1
hora,17,6,29,module-29
horas,7,3,35,module-past-comparison
idea,5,3,8,module-4
ido,3,1,37,module-12
importante,38,7,30,module-32
informe,8,2,57,module-30
ingeniero,6,2,58,module-39
instala,4,1,59,module-37
internet,4,1,59,module-37
invierno,3,3,27,module-35
invitados,7,2,22,module-41
ir,9,4,9,module-verb-tener
iría,3,2,64,module-22
iríamos,3,2,64,module-22
joven,4,2,23,module-40
jugador,5,1,61,module-43
juntos,8,8,49,module-21
la,242,54,19,story-2
las,40,20,42,module-15
lava,5,2,22,module-41
lavo,4,2,16,module-7
le,44,8,41,module-14
le gusta,3,1,19,story-2
leche,6,6,5,module-hay-vs-esta
lee,9,1,58,module-39
leer,4,4,67,module-26
lejos,6,3,2,module-2
les,8,5,41,module-14
levanto,4,2,16,module-7
leyendo,4,3,40,module-13
libro,55,23,5,module-hay-vs-esta
libros,18,9,8,module-4
limpia,4,1,22,module-41
llama,4,2,16,module-7
llamar,5,2,26,module-9
llamas,3,1,16,module-7
llamo,5,3,16,module-7
llaves,7,6,14,module-ser-vs-estar-2
llegar,11,6,18,module-gustar-family
llegaras,4,3,64,module-22
llegas,4,2,49,module-21
llegues,9,6,51,module-18
lleno,2,2,60,module-33
lleva,13,5,24,module-31
llevamos,2,1,48,module-24
llevas,12,3,48,module-24
llevo,17,5,48,module-24
llueve,3,3,49,module-21
lo,69,19,42,module-15
los,35,15,42,module-15
luego,5,4,7,story-1
lugar,4,4,67,module-26
lunes,5,4,18,module-gustar-family
luz,2,1,69,module-34
madre,15,8,14,module-ser-vs-estar-2
maleta,2,1,29,module-29
manos,6,2,16,module-7
mar,2,2,68,module-27
mariposa,6,1,69,module-34
me,115,33,54,module-20
media,5,3,48,module-24
médico,3,3,30,module-32
mejor,14,7,30,module-32
mensaje,12,5,12,module-6
mercado,2,2,57,module-30
mes,4,3,38,module-preterite-vs-present-perfect
mesa,16,9,3,module-3
metro,2,2,25,module-ir-y-venir
mí,4,3,17,module-8
mientras,7,3,34,module-11
minutos,7,5,48,module-24
mire,2,2,50,module-17
mires,2,2,50,module-17
momento,4,1,61,module-43
mucha,6,5,29,module-29
mucho,27,15,5,module-hay-vs-esta
muchos,3,3,5,module-hay-vs-esta
muestra,9,1,61,module-43
mujer,10,4,23,module-40
música,13,9,17,module-8
nadar,2,2,31,module-saber-vs-conocer
necesita,8,1,23,module-40
negros,2,1,23,module-40
nerviosa,2,1,61,module-43
nervioso,6,3,56,story-5
nevera,3,2,5,module-hay-vs-esta
nieto,3,2,10,module-38
niña,6,2,21,module-42
niño,5,4,35,module-past-comparison
no,166,44,41,module-14
noche,7,7,24,module-31
noches,5,5,1,module-1
nombre,2,1,67,module-26
nos,14,6,16,module-7
noticia,10,1,61,module-43
nueva,2,2,3,module-3
nuevas,2,2,3,module-3
nuevo,6,4,3,module-3
nuevos,2,1,3,module-3
ocho,4,3,20,module-ser-vs-estar-3
oferta,3,1,66,story-6
oficina,8,4,57,module-30
ojalá,5,3,53,module-19
ordenador,8,2,59,module-37
organiza,5,1,58,module-39
paciente,6,4,61,module-43
padre,4,4,70,module-36
padres,4,4,6,module-ser-vs-estar
pan,32,22,5,module-hay-vs-esta
pantalones,8,1,23,module-40
para,21,9,44,module-por-vs-para
parece,5,1,61,module-43
parque,13,9,20,module-ser-vs-estar-3
pasado,3,2,38,module-preterite-vs-present-perfect
pasaporte,2,1,29,module-29
pasillo,2,2,29,module-29
pasión,2,1,21,module-42
pedir,2,2,27,module-35
pensando,2,2,48,module-24
pequeña,2,1,3,module-3
pequeño,7,5,3,module-3
persona,3,2,6,module-ser-vs-estar
pescado,2,1,24,module-31
pidió,3,2,62,module-25
pinta,3,1,22,module-41
pintura,7,1,21,module-42
plástico,2,1,60,module-33
plato,3,2,24,module-31
playa,4,4,60,module-33
poco,7,6,18,module-gustar-family
por,54,26,24,module-31
practica,8,2,21,module-42
prefiero,4,4,15,module-stem-changing
preocupes,2,2,27,module-35
presupuesto,2,1,57,module-30
primo,10,3,10,module-38
problema,7,5,8,module-4
profesor,10,3,58,module-39
profesora,6,2,14,module-ser-vs-estar-2
programa,4,1,59,module-37
programador,5,1,59,module-37
pronto,8,6,36,story-3
proteger,2,1,60,module-33
próximo,3,2,29,module-29
proyecto,8,3,57,module-30
prueba,4,1,23,module-40
pudiera,3,2,64,module-22
pudieras,2,1,63,module-28
pueblo,4,3,36,story-3
puedes,4,3,15,module-stem-changing
puedo,6,6,15,module-stem-changing
puerta,31,18,12,module-6
que,138,23,9,module-verb-tener
quedarme,2,1,26,module-9
quédate,5,3,69,module-34
quedes,4,4,51,module-18
quedó,2,1,61,module-43
quiere,7,3,10,module-38
quieres,7,4,15,module-stem-changing
quiero,48,13,15,module-stem-changing
rápido,17,8,16,module-7
razón,7,3,61,module-43
recibir,2,2,26,module-9
recoger,4,3,29,module-29
regalo,4,3,41,module-14
repara,4,1,22,module-41
reservar,2,2,24,module-31
respuesta,2,2,31,module-saber-vs-conocer
retraso,2,1,29,module-29
reunión,6,3,20,module-ser-vs-estar-3
revisa,6,2,58,module-39
rico,2,2,63,module-28
río,2,2,60,module-33
sábados,8,3,22,module-41
sabe,5,2,31,module-saber-vs-conocer
sabemos,3,1,31,module-saber-vs-conocer
saben,2,1,31,module-saber-vs-conocer
sabes,3,2,31,module-saber-vs-conocer
sala,3,1,20,module-ser-vs-estar-3
sale,3,2,29,module-29
salimos,2,2,44,module-por-vs-para
se,47,12,42,module-15
sé,3,2,31,module-saber-vs-conocer
seas,2,2,53,module-19
semana,15,10,25,module-ir-y-venir
señor,10,2,22,module-41
sería,5,1,64,module-22
sevilla,2,2,32,module-verb-hacer
si,83,12,49,module-21
siempre,7,4,34,module-11
siente,5,2,61,module-43
sientes,3,3,53,module-19
siento,4,3,30,module-32
sobrino,8,1,10,module-38
sofá,4,2,22,module-41
software,9,1,59,module-37
sol,7,7,32,module-verb-hacer
solo,4,4,18,module-gustar-family
somos,11,5,1,module-1
son,34,6,3,module-3
sopa,13,11,17,module-8
sorprendida,2,1,61,module-43
sorprendido,3,1,61,module-43
soy,30,5,1,module-1
suegra,5,1,10,module-38
supermercado,2,1,5,module-hay-vs-esta
supieras,2,1,63,module-28
tan,5,4,50,module-17
tarde,26,19,16,module-7
tardes,2,2,1,module-1
tarea,3,2,44,module-por-vs-para
te,50,22,42,module-15
té,10,6,17,module-8
técnico,4,1,59,module-37
teléfono,17,7,45,story-4
temprano,14,10,16,module-7
tenéis,3,2,9,module-verb-tener
tenemos,10,3,8,module-4
tengas,9,5,53,module-19
tengo,44,9,8,module-4
tenía,7,3,34,module-11
ti,4,3,17,module-8
tía,8,2,10,module-38
tiempo,37,22,8,module-4
tiempo libre,15,2,21,module-42
tienda,8,3,23,module-40
tiene,17,7,8,module-4
tienen,2,1,9,module-verb-tener
tienes,23,7,8,module-4
todavía,3,3,47,module-23
tomar,6,6,49,module-21
trabaja,4,3,11,module-5
trabajaba,8,2,34,module-11
trabajabas,2,1,34,module-11
trabajado,6,2,37,module-12
trabajamos,2,2,11,module-5
trabajando,9,4,48,module-24
trabajar,7,4,17,module-8
trabajas,5,4,11,module-5
trabajé,4,3,33,module-10
trabajes,3,3,51,module-18
trabajo,33,20,2,module-2
tres,8,6,20,module-ser-vs-estar-3
triste,4,2,61,module-43
tuviera,4,3,63,module-28
ustedes,3,3,41,module-14
usuario,3,1,59,module-37
útiles,2,1,14,module-ser-vs-estar-2
va,8,2,26,module-9
vamos,13,7,25,module-ir-y-venir
van,3,2,25,module-ir-y-venir
vas,14,5,25,module-ir-y-venir
vaso,3,1,6,module-ser-vs-estar
vayas,5,5,51,module-18
veinte,7,4,48,module-24
ven,3,2,46,module-16
venga,3,2,46,module-16
vengas,4,4,51,module-18
venir,7,4,15,module-stem-changing
ventana,16,12,22,module-41
veo,9,2,40,module-13
ver,4,3,24,module-31
verdad,13,11,41,module-14
verde,3,2,27,module-35
verduras,2,1,24,module-31
vería,3,2,64,module-22
ves,2,1,40,module-13
vestido,3,1,23,module-40
vez,4,4,62,module-25
vi,2,2,38,module-preterite-vs-present-perfect
viajar,5,5,18,module-gustar-family
viaje,3,2,32,module-verb-hacer
vidrio,4,2,60,module-33
vienes,4,2,25,module-ir-y-venir
viernes,4,2,20,module-ser-vs-estar-3
vinieras,3,2,64,module-22
visita,5,3,10,module-38
visitar,3,3,67,module-26
viste,2,2,16,module-7
visto,3,2,16,module-7
vivas,4,4,50,module-17
vive,4,3,12,module-6
vives,3,3,12,module-6
vivía,6,5,34,module-11
vivido,4,2,37,module-12
viviendo,4,2,48,module-24
vivo,5,4,12,module-6
voy,24,6,25,module-ir-y-venir
vuelo,4,2,29,module-29
wifi,3,1,59,module-37
y,58,30,69,module-34
zapatos,11,3,23,module-40
